Company Name,Subindustry,Sub Subindustry,Phone,Location 1,Website
Brazil Grill,Full Serve,Brazilian,(212) 307-9449,"787 Eighth Ave
(40.760902, -73.987124)",http://cityinsights.com/newyork/brazilgrill.htm
Hawaiian Tropic Zone,Full Serve,American,212-626-7312,"729 Seventh Ave
(40.760103, -73.983973)",www.hawaiiantropiczone.com
Houlihan's Restaurant & Bar,Full Serve,American,2126267316,"729 Seventh Ave
(40.760103, -73.983973)",www.houlihans.com
Ruby Tuesday,Full Serve,American,(212) 382-3898 ,"7 Times Sq
(40.755915, -73.986681)",http://www.rubytuesday.com/
Playwright Celtic Pub,Bar / Lounge,,(212) 354-8404,"732 Eighth Ave
(40.759401, -73.988204)",http://www.playwrightcelticpubnyc.com/
Smith's Bar & Restaurant,Full Serve,American,(212) 246-3268,"701 Eighth Ave
(40.758632, -73.988785)",www.smithsbar.com
Pax Foods,Café / Deli,,(212) 399-9100,"740 Seventh Ave
(40.760369, -73.983807)",www.paxfood.com
"Godiva Chocolatier, Inc.",Consumables,Non-beverages,(212) 921-2193,"745 Seventh Ave
(40.760605, -73.983612)",www.godiva.com
Hale & Hearty,Café / Deli,,2122219666,"745 Seventh Ave
(40.760605, -73.983612)",www.haleandhearty.com
Majestic Delication Café,Café / Deli,,2125818249,"750 Seventh Ave
(40.760753, -73.983525)",www.majesticdeli.com
Ruby Foo's,Full Serve,Pan Asian,(212) 489-5600,"750 Seventh Ave
(40.760753, -73.983525)",www.brguestrestaurants.com
Starbucks,Coffee,,2129740032,"750 Seventh Ave
(40.760753, -73.983525)",www.starbucks.com
Kodama Sushi,Full Serve,Japanese,(212) 582-8065 ,"301 W 45th St
(40.759351, -73.988814)",http://kodamajapanesenyc.com/
"Mean Fiddler, The",Bar / Lounge,,(212) 354-2950,"266 W 47th St
(40.76001, -73.986557)",
Midtown Gourmet Deli,Café / Deli,,(212) 586-6433,"840 Eighth Ave
(40.762694, -73.985799)",
Nan King Chinese Cuisine,Full Serve,Chinese,(212) 586-3100,"1632 Broadway
(40.761516, -73.983976)",
Patzeria Pizza,Quick Serve,Pizza,(212) 575-7646,"231 W 46th St
(40.759101, -73.986276)",http://www.patzeriaspizzanyc.com
Piano Due,Quick Serve,American,(212) 399-9400,"151 W 51st St
(40.761324, -73.981846)",http://www.pianoduenyc.net/
Sombrero,Full Serve,Mexican,(212) 586-4853,"303 W 48th St
(40.76124, -73.987478)",www.sombreroRestaurant.com
Thalia Kitchen,Full Serve,Italian,(212) 399-4444,"828 Eighth Ave
(40.762192, -73.986164)",http://www.restaurantthalia.com/
Tom and Toon,Full Serve,Thai,,"245 W 51st St
(40.762439, -73.984492)",
Grand Sichuan,Full Serve,Chinese,,"368 W 46th St
(40.760548, -73.989734)",
Chopp't,Café / Deli,,,"1460 Broadway
(40.754998, -73.986284)",
Glass House Tavern,Full Serve,American,(212) 730-4800,"252 W 47th St Storefront
(40.759906, -73.986312)",http://glasshousetavern.com
Off Broadway Deli/ Pizza,Café / Deli,,,"726 Eighth Ave
(40.759291, -73.988287)",
Z Deli-Pizzeria,Quick Serve,Pizza,(212) 315-1659,"803 Eighth Ave
(40.761371, -73.986785)",
Zheng's Lucky Sunday Garden,Quick Serve,Chinese,(212) 459-3607,"856 Eighth Ave
(40.763207, -73.985423)",http://www.luckysundayny.com/
Charley O's,Full Serve,American,(212) 246-1960,"1611 Broadway
(40.760696, -73.984568)",
Amadeus Pizza,Quick Serve,Pizza,(212) 489-6187,"856 Eighth Ave
(40.763207, -73.985423)",www.rayspizzany.com
Andy's Deli & Natural Foods,Café / Deli,,,"270 W 47th St
(40.76004, -73.98663)",
Angus McIndoe Restaurant,Full Serve,American,(212) 221-9222,"258 West 44th Street
(40.758108, -73.987861)",www.AngusMcIndoe.com
Brazil Brazil,Full Serve,Brazilian,(212) 957-4300,"328 W 46th St
(40.760205, -73.988922)",www.brazilbrazilrestaurant.com
Sofia's,Full Serve,Italian,(212) 719-5799,"221 W 46th St
(40.759025, -73.986092)",www.sofiasny.com
VACANT (frmerly Starbucks),Coffee,,,"1600 Broadway Storefront
(40.76035, -73.984713)",
Cafe Nicole @ Novotel,Full Serve,French,(951) 729-8661,"226 W 52nd St
(40.762897, -73.983683)",http://www.novotel.com/gb/hotel-0753-novotel-new-york-times-square/restaurant.shtml
Cafe Edison,Full Serve,American,(212) 840-5000,"228 W 47th St
(40.759727, -73.985886)",www.edisonhotelnyc.com
Ciro Trattoria,Full Serve,Italian,(212) 307-5484,"813 Eighth Ave
(40.761569, -73.98664)",www.cirotrattorianyc.com
Olympic Restaurant,Full Serve,American,(212) 956-3230,"807 Eighth Ave
(40.761451, -73.986727)",
Emmett O'Lunney's,Bar / Lounge,,(212) 957-5100,"210 W 50th St
(40.76156, -73.984395)",www.emmettolunneys.com
Maxie's Delicatessen,Café / Deli,,(212) 398-1118,"723 Seventh Ave
(40.759974, -73.984067)",
Cyber Cafe,Café / Deli,,,"250 W 49th St
(40.761193, -73.985478)",
Palm Restaurant,Full Serve,Steakhouse,(212) 333-7256,"250 W 50th St
(40.76183, -73.985034)",http://www.thepalm.com/
Jade Terrace,Full Serve,Chinese,(212) 398-3800 ,"268 W 47th St
(40.760024, -73.986594)",
vacant (Red Mango),Quick Serve,Dessert,(212) 315-0101,"723 Eighth Ave
(40.75945, -73.988193)",http://www.redmangousa.com/default.html
Russian Vodka Room,Full Serve,Russian,(212) 307-5835 ,"265 W 52nd St
(40.763183, -73.984315)",http://russianvodkaroom.com/
Katen Sushi Bar,Full Serve,Japanese,(212) 398-1900 ,"1535 Broadway 8th Floor
(40.758267, -73.985468)",
Rum House,Bar / Lounge,,(212) 869-3005,"228 W 47th St
(40.759727, -73.985886)",
Hudson's Sports Bar & Grill,Quick Serve,American,(212) 841-6551,"811 Seventh Ave
(40.762674, -73.982095)",
Russo's Steak and Pasta,Full Serve,American,(212) 621-8523,"790 Seventh Ave
(40.762005, -73.982612)",shearton.com/manhattan
Starlite Deli,Café / Deli,,(212) 840-1859 ,"212 W 44th St
(40.757531, -73.986493)",
Villa Pizza,Quick Serve,Pizza,(212) 302-2941,"662 Eighth Ave
(40.757381, -73.989669)",www.villapizza.com
Harmony View,Bar / Lounge,,(212) 957-5100,"210 W 50th St
(40.76156, -73.984395)",www.harmonyview.com/
Pearls,Full Serve,Chinese,(212) 582-7380,"732 Seventh Ave
(40.760177, -73.983944)",
Frankie & Johnnie's Steakhouse,Full Serve,Steakhouse,(212) 997-9494,"269 W 45th St
(40.758863, -73.987641)",http://www.frankieandjohnnies.com/
Times Square Hot Bagels,Café / Deli,,(212) 997-7300,"200 W 44th St
(40.757405, -73.98619)",
Brasserie 1605,Full Serve,American,(212) 315-6195,"1605 Broadway
(40.760537, -73.984644)",www.cpmanhattantimessquare.com
La Masseria,Full Serve,Italian,(212) 582-2111,"235 W 48th St
(40.760476, -73.985666)",http://www.lamasserianyc.com/
Teriyaki Boy (month to month),Quick Serve,Japanese,(212) 265-8181,"732 Seventh Ave
(40.760177, -73.983944)",
Hourglass Tavern,Full Serve,,(212) 265-2060,"373 W 46th St
(40.760598, -73.989803)",http://www.hourglasstavern.com
Mama Sbarro's,Quick Serve,Pizza,(212) 768-4194,"1606 Broadway
(40.760556, -73.984615)",www.sbarro.com
Yoshinoya Beef Bowl Restaurant,Full Serve,Japanese,(212) 703-9940,"255 W 42nd St
(40.756892, -73.988958)",http://www.yoshinoyausa.com
"Natsumi Restaurant, Bar & Lounge",Full Serve,Japanese,(212) 258-2988,"226 W 50th St
(40.761668, -73.984651)",www.natsumnyc.com
Brooklyn Diner,Full Serve,Diner,(212) 265-5400,"155 W 43rd St
(40.756082, -73.984948)",www.brooklyndiner.com
Chevys Fresh Mex,Full Serve,Mexican,(212) 302-4010,"259 W 42nd St
(40.756917, -73.989016)",http://www.chevysny.com/EN/index.html
Tasti D-Lite,Quick Serve,Dessert,(212) 977-4000,"1588 Broadway
(40.759873, -73.984915)",
Carve: Unique Sandwiches,Quick Serve,American,(212) 730-4949,"768 Eighth Ave
(40.760309, -73.987532)",http://www.carve.cc/
Starbucks (@ Marriott),Coffee,,(212) 398-1900,"1535 Broadway
(40.758267, -73.985468)",http://www.starbucks.com/store/14269/
Ray's Famous Pizza,Quick Serve,Pizza,(212) 956-7297,"736 Seventh Ave
(40.760273, -73.983875)",www.rayspizzany.com
Jamba Juice,Café / Deli,,(212) 582-1915,"1700 17th Street
(40.01635, -105.272599)",www.jambajuice.com
vacant (8th Avenue Pavilion Flea Market),Consumables,Non-beverages,,"675 Eighth Ave
(40.757705, -73.98946)",
Bond 45,Full Serve,Italian,(212) 869-4545,"154 West 45th St
(40.757408, -73.98423)",www.bond45.com
Pax World,Café / Deli,,(800) 767-1729,"225 W 42nd St
(40.756508, -73.988042)",http://www.paxworld.com/
705 8th Avenue (8th Avenue Food Court),Café / Deli,,,"705 Eighth Ave Storefront
(40.758759, -73.988695)",
Avenue Restaurant @ Sheraton Hilton Hotel,Full Serve,American,(212) 581-3300,"811 Seventh Ave
(40.762674, -73.982095)",
Azalea,Full Serve,Italian,(212) 262-0105,"224 W 51st St
(40.76228, -73.984164)",http://www.lunapienanyc.com/azalea_new/
Bella Vita,Full Serve,Italian,(212) 730-1479,"211 W 43rd St
(40.756983, -73.987081)",www.bellavitanyc.com
Bistro Caterers,Catering,,,"155 W 51st St
(40.761346, -73.981901)",
CAFÉ @ Times Square,Café / Deli,,(212) 391-7351,"159 W 46th St
(40.758066, -73.983829)",
Chipotle Mexican grill,Quick Serve,Mexican,(212) 757-4312,"854 Eighth Ave
(40.763166, -73.985452)",www.chipotle.com
Famous Dave's B-B-Q,Full Serve,Barbecue,(212) 764-1899,"169 W 47th St
(40.758777, -73.983583)",http://www.famousdaves.com/
Famous Famiglia Pizza,Quick Serve,Pizza,(212) 382-3030 ,"686 Eighth Ave
(40.758163, -73.989099)",
Fu Ying,Quick Serve,Chinese,(212) 489-5008 ,"811 Eighth Ave
(40.761531, -73.986669)",
Green Symphony,Full Serve,Organic,(212) 391-4747 ,"255 W 43rd St
(40.757359, -73.987973)",
Haru,Full Serve,Japanese,(212) 398-9810,"205 W 43rd St
(40.75693, -73.986959)",
Insieme @ The Michaelangelo,Full Serve,Italian,(212) 582-1310,"777 Seventh Ave
(40.761571, -73.9829)",www.restaurantinsieme.com
Starbucks,Coffee,,(212) 398-9702,"684 Eighth Ave
(40.758108, -73.989139)",
"Metromet, Inc.",Catering,,,"224 West 49th Street Suite 1619
(40.761014, -73.985052)",http://www.metromet.com/metromet/index.php
Barbetta Restaurant,Full Serve,Italian,(212) 246-9171,"321 West 46th Street
(40.76015, -73.988749)",barbettarestaurant.com
Le Bernardin,Full Serve,French,2125541515,"155 West 51st.
(41.801892, -87.629667)",www.le-bernardin.com
