DBA,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,GRADE
CARROT TOP PASTRIES,3931,BROADWAY,10032,2129274800,Bakery,A
CHIPOTLE MEXICAN GRILL,620,9 AVENUE,10036,2122473275,Tex-Mex,A
FAIRFIELD INN & SUITES NEW YORK MANHATTAN FINANCIAL DISTRICT,161,FRONT ST,10038,2128260001,Continental,A
KAVA CAFE,803,WASHINGTON STREET,10014,2122557495,Caf̩/Coffee/Tea,A
XANADU COFFEE,225,W 23RD ST,10011,6469187583,Caf̩/Coffee/Tea,A
STARBUCKS,625,8TH AVE,10018,2122739613,Caf̩/Coffee/Tea,A
SACRED CHOW,227,SULLIVAN STREET,10012,2123370863,Vegetarian,A
PATSYS PIZZERIA,61,WEST 74TH STREET,10023,2125793000,Pizza/Italian,A
EL PALACIO SEAFOOD MARKET,1049,SAINT NICHOLAS AVE,10032,2125684771,Seafood,A
HILL AND BAY,581,2ND AVENUE,10016,2122455554,American,A
STARBUCKS,77,WEST  125 STREET,10027,9174922452,Caf̩/Coffee/Tea,A
DUNKIN' DONUTS,152,WEST   31 STREET,10001,2125941656,Donuts,A
CHOP'T,120,WEST   56 STREET,10019,6467831600,Salads,A
CAFE ONE,1619,AMSTERDAM AVENUE,10031,2126900060,American,A
SUNFLOWER CAFE,676,AMSTERDAM AVE,10025,2127993415,American,A
MASON JAR,45,EAST   30 STREET,10016,2122133587,American,A
LEXINGTON CANDY SHOP,1226,LEXINGTON AVENUE,10028,2122880057,American,A
DIG INN,17,East 17th Street,10003,2122537676,American,A
PRET A MANGER,50,BROADWAY,10004,2123440105,Sandwiches,A
LIBRETTO'S PIZZERIA,546,3 AVENUE,10016,2122136445,American,A
BOI SANDWICH,708,3 AVENUE,10017,2126821117,Vietnamese/Cambodian/Malaysia,A
ACTS III BAGELS,236,W 135TH ST,10030,2122812287,Bagels/Pretzels,A
TAPESTRY,60,GREENWICH AVE,10011,2123738900,Indian,A
EL MAGUEY Y LA TUNA,321,EAST HOUSTON STREET,10002,2124733919,Mexican,A
DUNKIN' DONUTS,42,W 39TH ST,10018,6465908351,Donuts,A
JUDGE ROY BEAN,38,WEST   56 STREET,10019,2122628300,American,A
BROADWAY BAGEL,2658,BROADWAY,10025,2126620231,Bagels/Pretzels,A
FRANKLIN HOTEL,164,EAST   87 STREET,10128,2123691000,Continental,A
MANTING RESTAURANT,150,W 49TH ST,10019,6468325866,Chinese,A
GRACE STREET,17,W 32 STREET,10001,6466123821,Caf̩/Coffee/Tea,A
WXOU RADIO,558,HUDSON STREET,10014,2122060381,American,A
SAPPORO RESTAURANT,152,WEST   49 STREET,10019,2128698972,Japanese,A
HOTEL CARLYLE,35,EAST 76 STREET,10021,2127441600,American,A
BARLEY & GRAIN,421,AMSTERDAM AVE,10024,6463603231,American,A
Caf̩ Medi/ Jia Lounge,107,RIVINGTON STREET,10002,2124752600,American,A
MOMOFUKU MILK BAR,251,EAST   13 STREET,10003,3475779504,Caf̩/Coffee/Tea,A
THE KUNJIP,32,W 32ND ST,10001,2122169487,Korean,A
PANERA BREAD,330,5TH AVE,10001,2129678683,American,A
ROAST KITCHEN,870,BROADWAY,10003,2125299100,American,A
MIN JIANG MINI CAFE,67,ELDRIDGE ST,10002,3474466658,Chinese,A
NECTAR OF 82ND STREET,1090,MADISON AVENUE,10028,2127720916,American,A
DUETSCHE BANK - MAIN CAFE,60,WALL ST,10005,7043285173,American,A
CHIPOTLE MEXICAN GRILL,501,7 AVENUE,10018,2128400486,Mexican,A
BLUE RIBBON,97,SULLIVAN ST,10012,2122740404,American,A
LA LANTERNA DI VITTORIO,129,MACDOUGAL STREET,10012,2125295945,Italian,A
CHARLEY'S GRILLED SUBS,401,7TH AVE,10001,2125947817,American,A
PAX,520,8 AVENUE,10018,2127140555,American,A
FIELDS GOOD CHICKEN,275,MADISON AVE,10016,2129971272,Chicken,A
HAMPTON INN TIMES SQUARE,220,W 41ST ST,10036,2122211188,American,A
NEW WONJO RESTAURANT,23,WEST   32 STREET,10001,2126955815,Korean,A
LUKE'S LOBSTER,426,AMSTERDAM AVENUE,10024,2128778800,Seafood,A
TURNMILL,119,EAST 27 STREET,10016,6465246060,Irish,A
AGAVE MEXICAN & AMERICAN GRILL,398,W 145TH ST,10031,2129262200,Mexican,A
BEECHER'S HANDMADE CHEESE,900,BROADWAY,10003,2124663340,American,A
ACME BAR & GRILL,9,GREAT JONES STREET,10012,2122032121,American,A
UP AND DOWN,244,WEST   14 STREET,10011,2122424411,American,A
SUSHI OF GARI,402,EAST   78 STREET,10075,2125175340,Japanese,A
KARIZMA LOUNGE,244,E 51ST ST,10022,2126059988,Middle Eastern,A
INSOMNIA COOKIES,1579,2 AVENUE,10028,2153831320,Bakery,A
EL NUEVO CARIDAD RESTAURANT,225759,2ND AVE,10029,2128608187,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",A
BUTTERFIELD CATERING,346,EAST   92 STREET,10128,2127728782,American,A
ESPERANTO RESTAURANT BAR AND JUGO,145,AVENUE C,10009,2125056559,Brazilian,A
NEW YORK BURGER CO,678,6 AVENUE,10010,2122291404,Hamburgers,A
VILLAGE DEN RESTAURANT,225,W 12TH ST,10011,2126910303,American,A
SOBA-YA,229,EAST    9 STREET,10003,2125336966,Japanese,A
OXFORD CAFE,109,EAST   59 STREET,10022,2127501060,Delicatessen,A
NEW HAPPY WOK,158,DELANCEY ST,10002,2123889800,Chinese,A
BLUE GINGER,106,8 AVENUE,10011,2123520911,Japanese,A
BARCADE,6,SAINT MARKS PL,10003,2123880522,American,A
DAVEY'S ICE CREAM,137,1 AVENUE,10003,2122288032,"Ice Cream, Gelato, Yogurt, Ices",A
PIZZA PETE'S,528,COLUMBUS AVENUE,10024,2127873153,Pizza,A
DAVID'S CAFE,110,SAINT MARKS PL,10009,6466783206,French,A
ADORO LEI,287,HUDSON ST,10013,6466665096,Pizza,A
121 FULTON STREET,121,FULTON STREET,10038,6465456647,American,A
PANYA/AUTRE KYOYA,810,STUYVESANT STREET,10003,2125980454,Japanese,A
NEW 888 CHINA EXPRESS,88,E. BROADWAY,10002,2124313555,Chinese,A
CAFE TALLULAH,240,COLUMBUS AVENUE,10023,2122091055,American,A
UGLY KITCHEN,103,1 AVENUE,10003,2127776677,Asian,A
LENZ'S,514,E 20TH ST,10009,2129792859,American,A
MCDONALD'S,114,DELANCEY ST,10002,2125299770,Hamburgers,A
JUST SALAD,291,7TH AVE,10001,2122441111,Salads,A
MAHARAJA PALACE,2113,FREDERICK DOUGLASS BLVD,10026,2122228934,Indian,A
PRESSED JUICERY,2857,BROADWAY,10025,2122222279,"Bottled beverages, including water, sodas, juices, etc.",A
BLOCKHEADS,175,WEST   90 STREET,10024,2125107410,Tex-Mex,A
LA GOURMET,111,EAST   58 STREET,10022,2123080811,American,A
ESTANCIA 460,460,GREENWICH STREET,10013,2124315093,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",A
DROM,85,AVENUE A,10009,2127771157,Mediterranean,A
NORIKOH,10,E 39TH ST,10016,6469186778,Japanese,A
MARKET PLACE (CENTERPLATE),655,WEST   34 STREET,10001,2122162426,American,A
EL RINCONCITO RESTAURANT,408,EAST   10 STREET,10009,2122541381,Spanish,A
LA FONDA DEL SOL,200,PARK AVENUE,10166,2128676767,Spanish,A
DUNKIN' DONUTS,1093,2 AVENUE,10022,6464541575,Donuts,A
POINT 72 CAFE,510,MADISON AVENUE,10022,6465698194,American,A
ARTHUR'S TAVERN,57,GROVE STREET,10014,2126756879,American,A
MCDONALD'S,114,DELANCEY ST,10002,2125299770,Hamburgers,A
THE PARLOUR,250,WEST   86 STREET,10024,2125808923,American,A
TABLE GREEN CAFE,0,BATTERY PARK,10004,2127416723,Caf̩/Coffee/Tea,A
CAFE MAGGIO,1750,YORK AVENUE,10128,6469812291,American,A
ADORO LEI,287,HUDSON ST,10013,6466665096,Pizza,A
NEW YORK UNIVERSITY - LIPTON HALL,33,WASHINGTON SQUARE WEST,10011,2129953074,American,A
$1 PIZZA $2 BEER,95,MACDOUGAL STREET,10012,2122555090,Pizza,A
BOSTON MARKET,3781,BROADWAY,10032,5164280840,Chicken,A
ED'S CHOWDER HOUSE,44,WEST   63 STREET,10023,2129561288,Seafood,A
VILLAGE DEN RESTAURANT,225,W 12TH ST,10011,2126910303,American,A
BARBALU,225,FRONT STREET,10038,6469186565,Italian,A
PROPOSITO DE VIDA,180,E 104TH ST,10029,3476927289,Caf̩/Coffee/Tea,A
DUNKIN DONUTS,166,W 72ND ST,10023,6467679048,Donuts,A
TAKAHACHI RESTAURANT,85,AVENUE A,10009,2125056524,Japanese,A
AQUA GRILL,210,SPRING STREET,10012,2122740505,Seafood,A
NINO TUSCANY,117,WEST   58 STREET,10019,2127578630,Italian,A
DAVEY'S ICE CREAM,137,1 AVENUE,10003,2122288032,"Ice Cream, Gelato, Yogurt, Ices",A
ASELLINA RISTORANTE,420,PARK AVENUE SOUTH,10016,2123172908,Italian,A
MATCHABAR,256,W 15TH ST,10011,2126271058,Caf̩/Coffee/Tea,A
MARUMI,546,LA GUARDIA PLACE,10012,2129797055,Japanese,A
ABBEY TAVERN,354,3 AVENUE,10010,2126961011,American,A
GOLDEN KRUST CARIBBEAN BAKERY & GRILL,12,GRAND CENTRAL STATION,10017,6464872003,Caribbean,A
JUST SALAD,663,LEXINGTON AVE,10022,2122441111,Salads,A
PRET A MANGER,425,LEXINGTON AVENUE,10017,2122923913,American,A
COCO FRESH TEA AND JUICE,79,MOTT ST,10013,3477324797,Caf̩/Coffee/Tea,A
CHELSEA SQUARE RESTAURANT,368,WEST   23 STREET,10011,2126915400,American,A
RYEHOUSE,11,WEST 17 STREET,10011,2122557260,American,A
STARBUCKS,72,GROVE STREET,10014,6464862216,Caf̩/Coffee/Tea,A
HAWA SMOOTHIES,181,EAST BROADWAY,10002,6468861168,"Juice, Smoothies, Fruit Salads",A
OOTOYA,41,E 11TH ST,10003,2124734300,Japanese,A
SHADES OF GREEN,125,EAST   15 STREET,10003,2126741394,American,A
WO HOP CITY,15,MOTT STREET,10013,2125663841,Chinese,A
"DUNKIN' DONUTS, HUDSON NEWS",2,PENNSYLVANIA PLAZA,10001,2129716800,American,A
QUEEN SHEEBA RESTAURANT,317,WEST 141 STREET,10030,2128626149,Middle Eastern,A
MASAWA,1239,AMSTERDAM AVENUE,10027,2126630505,Ethiopian,A
FIVE GUYS FAMOUS BURGERS AND FRIES,43,WEST   55 STREET,10019,2124599600,Hamburgers,A
FAST EDDIES,667,10 AVENUE,10036,6464498604,American,A
EVERYDAY GOURMET DELI,369,LEXINGTON AVENUE,10017,2129860500,American,A
NEW KAM WEI,630,10 AVENUE,10036,2125821799,Chinese,A
GRADISCA RESTAURANT,126,WEST   13 STREET,10011,2126914886,Italian,A
BIBI WINECELLAR,211,E 4TH ST,10009,2126732424,American,A
BANC CAFE,431,3 AVENUE,10016,2122520146,Irish,A
MARUMI,546,LA GUARDIA PLACE,10012,2129797055,Japanese,A
MAGIC MIX JUICERY,102,FULTON STREET,10038,6464540680,"Juice, Smoothies, Fruit Salads",A
SUBWAY,731,COLUMBUS AVENUE,10025,2122226014,Sandwiches,A
KENNEDY'S CHICKEN & GRILL,1550,SAINT NICHOLAS AVE,10040,2127814739,American,A
EDWARD'S,136,WEST BROADWAY,10013,2122336436,American,A
TEN DEGREES,121,ST MARKS PLACE,10009,2123588600,American,A
BURKE & WILLS/MANHATTAN CRICKET CLUB,226,W 79TH ST,10024,6468239251,Australian,A
GREGORYS COFFEE,12,E 46TH ST,10017,2126611722,Caf̩/Coffee/Tea,A
VLIFE,348,7TH AVE,10001,2127601900,Vegetarian,A
THE CHIPPED CUP,3610,BROADWAY,10031,9179519215,Caf̩/Coffee/Tea,A
FORGTMENOT,138,DIVISION STREET,10002,6467073195,American,A
IRVING FARM,224,WEST   79 STREET,10024,2128747979,Caf̩/Coffee/Tea,A
PIER I CAFE,PIER I,WEST 70 STREET,10069,2123624450,American,A
CHOZA TAQUERIA,66,MADISON AVENUE,10016,2122130708,Mexican,A
KINGSTON HALL,149,2 AVENUE,10003,2126732663,American,A
LA CASA SALUDABLE,352,E 116TH ST,10029,9293294197,"Juice, Smoothies, Fruit Salads",A
TEXAS CHICKEN & BURGERS,3486,BROADWAY,10031,6469186207,Chicken,A
MANGIA,50,WEST   57 STREET,10019,2125825882,Italian,A
2 BROS PIZZA,32,ST MARKS PLACE,10003,9173749161,Pizza,A
THE MEATBALL SHOP,1462,2ND AVENUE,10075,2122576121,American,A
P.J. CLARKE'S,44,WEST   63 STREET,10023,2129579700,American,A
BABYLON,208,EAST   34 STREET,10016,2129330912,Turkish,A
WHITE HORSE TAVERN,567,HUDSON STREET,10014,2129893956,American,A
FAMOUS AMADEUS PIZZA,408,8 AVENUE,10001,2129041112,Pizza,A
SANU RIA MALAYSIAN & INDONESIAN CUISINE,18,DOYERS ST,10013,2122332288,Indonesian,A
CAFE CELLO DELI,48,WEST   46 STREET,10036,2127648600,American,A
BRANDY LIBRARY LOUNGE,25,NORTH MOORE STREET,10013,2122265545,French,A
LA CHULA,137,E 116TH ST,10029,6465903975,Mexican,A
SWEET MAMA'S SOUL FOOD,689,LENOX AVENUE,10037,2129399383,Soul Food,A
SEASONED VEGAN,55,ST. NICHOLAS AVENUE,10026,2122220092,Vegetarian,A
BROOKDALE,455,NORTH END AVENUE,10282,2127912500,American,A
THE GINGER MAN,11,EAST   36 STREET,10016,2125323740,American,A
PASTAI,186,9TH AVE,10011,6466883463,Italian,A
STARBUCKS,2853,BROADWAY,10025,2122807268,Caf̩/Coffee/Tea,A
JACKS COFFEE,425,WEST   13 STREET,10014,2126752007,Caf̩/Coffee/Tea,A
DUNKIN DONUTS,225,7TH AVE,10011,6469523409,American,A
BLUESTOCKINGS WOMENS BOOKSTORE CAFE,172,ALLEN STREET,10002,2127776028,Caf̩/Coffee/Tea,A
PATZERIA FAMILY & FRIENDS,311,WEST   48 STREET,10036,2122454343,Italian,A
THE FOUR FACED LIAR,165,WEST    4 STREET,10014,2122068959,American,A
B CAFE,240,EAST   75 STREET,10021,2122493300,American,A
INTERCONTINENTAL NEW YORK EMPLOYEE CAFE,111,E 48TH ST,10017,2127555900,American,A
BURRITO LOCO,166,WEST    4 STREET,10014,2126751977,Tex-Mex,A
DURDEN,213,2ND AVE,10003,9175024837,Armenian,A
STARBUCKS,1,PENN PLAZA,10119,2122791238,Caf̩/Coffee/Tea,A
SUMMER GARDEN,10,WEST   50 STREET,10020,2123327621,American,A
CHA CHAN TANG,45,MOTT STREET,10013,2125772888,Chinese,A
KUSTORY KABAB,126,LEXINGTON AVE,10016,9172620867,Indian,A
SUBWAY,314,WEST   58 STREET,10019,2125820880,Sandwiches,A
.TAO,92,9TH AVE,10011,2128882724,Asian,A
EL PUERTO,511,WEST  125 STREET,10027,2128657676,Seafood,A
ATLANTIC GRILL WEST,49,WEST   64 STREET,10023,2127874663,American,A
876 MARKET DELI,876,6TH AVE,10001,2122132431,Delicatessen,A
TWO-BITS RETRO ARCADE,153,ESSEX STREET,10002,2124778161,American,A
THE RIVER CLUB,447,EAST   52 STREET,10022,2127510100,American,A
YUMMY SUSHI,1758,1 AVENUE,10128,2129963666,Japanese,A
DUNKIN' DONUTS,1248,LEXINGTON AVENUE,10028,9179024851,Donuts,A
AJISEN RAMEN,14,MOTT STREET,10013,2122679680,Japanese,A
San Crestobal,339,E 108TH ST,10029,2128283644,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",A
THE CANNIBAL,600,11TH AVE,10036,2126865480,American,A
ABYSSINIA ETHIOPIAN RESTAURANT,268,WEST  135 STREET,10030,2122812673,Ethiopian,A
CHIPOTLE MEXICAN GRILL,2843,BROADWAY,10025,2122221712,Mexican,A
1020 BAR,1020,AMSTERDAM AVENUE,10025,2125313468,American,A
CAFE LUKA,1319,1 AVENUE,10021,2125852205,American,A
WINGSTOP,63,W 125TH ST,10027,2129879464,Chicken,A
BLOCKHEADS,322,WEST   50 STREET,10019,2123077029,Mexican,A
RED MANGO,111,FULTON STREET,10038,2123123120,American,A
GILA'S NOSH,221,EAST   23 STREET,10010,2122133334,Mediterranean,A
SENZA GLUTEN,206,SULLIVAN ST,10012,2124757775,Italian,A
PELOTON LOUNGE,140,W 23RD ST,10011,6462774497,Caf̩/Coffee/Tea,A
JEF CHINESE,913,2ND AVE,10017,2122230888,Chinese,A
RARE BAR & GRILL,303,LEXINGTON AVENUE,10016,2124811999,American,A
DOMINO'S,965,AMSTERDAM AVE,10025,2122222000,Pizza,A
BONCHON,104,JOHN STREET,10038,6466827747,Chicken,A
ALI BABA'S TERRACE,862,2 AVENUE,10017,2128888622,Turkish,A
10TH AVENUE COOKSHOP,156,10 AVENUE,10011,2129244440,American,A
JUDY'S SPANISH RESTUARANT,1505,LEXINGTON AVE,10029,2128310193,Spanish,A
YIP'S RESTAURANT/JUICE VITALITY,18,BEAVER STREET,10004,2124809010,Asian,A
TEN REN'S TEA TIME,73,MOTT ST,10013,2123492286,Caf̩/Coffee/Tea,A
PAPA JOHN'S,701,WEST  179 STREET,10033,2127957272,Pizza,A
TRIBECA PARK CAFE,1,WALKER STREET,10013,2122260665,Delicatessen,A
Pho Saigon,987,1ST AVE,10022,2126886888,Vietnamese/Cambodian/Malaysia,A
MEE NOODLE SHOP,795,9TH AVE,10019,6462434081,Chinese,A
CLEOPATRA'S NEEDLE,2483,BROADWAY,10025,2127696969,Middle Eastern,A
HOURGLASS TAVERN,373,WEST   46 STREET,10036,2122652060,American,A
HAMILTON DELI,1129,AMSTERDAM AVENUE,10025,2127498924,Delicatessen,A
12 CORNERS,155,EAST BROADWAY,10002,6467220838,Caf̩/Coffee/Tea,A
MCDONALD'S,213,MADISON STREET,10002,2126191848,American,A
My Belly's Playlist,89,WASHINGTON ST,10006,9173386846,American,A
NY BRAT FACTORY,933,AMSTERDAM AVE,10025,6468611452,Jewish/Kosher,A
HUMMUS AND PITA CO,616,8TH AVE,10018,6469444500,Middle Eastern,A
VINO LEVANTINO,210,WEST 94TH STREET,10025,2122803333,Mediterranean,A
Kaffe 1668,530,5TH AVE,10036,9174700317,Caf̩/Coffee/Tea,A
CHINA CHALET,47,BROADWAY,10006,2129434380,Chinese,A
GOOD GOOD TASTE,13,MARKET ST,10002,2129644888,Chinese,A
NANOOSH,30,ROCKEFELLER PLZ,10112,2129690727,Mediterranean,A
PIECES,8,CHRISTOPHER STREET,10014,2129299291,American,A
BAR HUGO,523,GREENWICH ST,10013,2126081211,American,A
SIDEWALK BAR & RESTAURANT,94,AVENUE A,10009,2124737373,American,A
MOE'S SOUTHWEST GRILL & CHARLEYS PHILLY STEAKS,1,PENN PLZ,10119,2125947817,Mexican,A
ST GEORGE TAVERN RESTAURANT & BAR,103,WASHINGTON ST,10006,2122409868,Asian,A
DOMINIQUE BISTRO / AKASHI,14,CHRISTOPHER ST,10014,6467564145,French,A
DUNKIN' DONUTS,1342,AMSTERDAM AVE,10027,9146999400,Donuts,A
ELIEZER KITCHEN,100,CHURCH STREET,10007,2125131110,American,A
FLOR DE MAYO,484,AMSTERDAM AVENUE,10024,2127873388,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",A
SING KEE SEAFOOD RESTAURANT,42,BOWERY,10013,2122338666,Chinese,A
LE RIVAGE,340,WEST   46 STREET,10036,2127657374,French,A
CHOP'T,165,EAST   52 STREET,10022,2124212300,Salads,A
TEXAS STAR SNACK BAR,741,ST NICHOLAS AVENUE,10031,2129260133,American,A
TATAKI SUSHI RESTAURANT,3,LISPENARD ST,10013,2129650975,Japanese,A
AMARANTH,21,EAST   62 STREET,10065,2129806700,French,A
GO ZEN RESTAURANT,144,W 4TH ST,10012,2122607130,Asian,A
THE GREEN DOOR,600,WEST   57 STREET,10019,2129743169,American,A
CHARLIE BIRD,5,KING STREET,10012,2122357133,American,A
WA LUNG KITCHEN,557,GRAND STREET,10002,2122543775,Chinese,A
CAFE 101,101,BARCLAY STREET,10007,2128155230,Caf̩/Coffee/Tea,A
GOLDEN CITY CHINESE RESTAURANT,423,9 AVENUE,10001,2126439232,Chinese,A
ATOYAMA SUSHI,11,WEST   36 STREET,10018,2129679541,Asian,A
SWEET BUTTONS,7884,RIVINGTON STREET,10002,2122538484,American,A
PANCHITO'S,103,MACDOUGAL STREET,10012,2124735239,Mexican,A
CAFFE BACIO,1223,3 AVENUE,10021,2127374730,Caf̩/Coffee/Tea,A
DELMONICOS,56,BEAVER STREET,10004,2125190144,Italian,A
ONE AND ONE,12,1 AVENUE,10009,2125989126,Irish,A
AZALEA,224,WEST   51 STREET,10019,2122620105,Italian,A
LA CARBORNARA,202,W 14TH ST,10011,2122552060,Italian,A
CHOZA TAQUERIA,185,GREENWICH ST,10007,2122130708,Mexican,A
FIVE GUYS FAMOUS BURGERS AND FRIES,316,WEST   34 STREET,10001,2125646115,Hamburgers,A
OLLIES 42ND,411,WEST   42 STREET,10036,2128686588,Chinese,A
PER LEI,1347,2 AVENUE,10021,2124399200,Italian,A
PRET A MANGER,750,8TH AVE,10036,6467280505,Sandwiches/Salads/Mixed Buffet,A
NATUREWORKS RESTAURANT,113,EAST   31 STREET,10016,2127251411,American,A
KIKKU JAPANESE RESTAURANT,50,WEST   55 STREET,10019,2125828357,Japanese,A
CAFE AMRITA,301,WEST  110 STREET,10026,2122220683,American,A
BATTERY GARDENS RESTAURANT,1,BATTERY PARK PLAZA,10004,2128095508,American,A
BRUSHSTROKE (30 HUDSON ST),162,DUANE STREET,10013,2127913771,Japanese,A
ZARO'S BREAD BASKET,89,EAST   42 STREET,10017,2122920163,Bakery,A
THE PAVILION MARKET PLACE,20,Union Sq. W,10003,2126777818,American,A
LUNA ROSSA,347,EAST   85 STREET,10028,2125173118,Italian,A
SUN SAI GAI RESTAURANT,220,CANAL STREET,10013,2129647256,Chinese,A
BENJAMIN STEAK HOUSE,52,EAST   41 STREET,10017,2122979177,Steak,A
AMY RUTH'S RESTAURANT,113,WEST  116 STREET,10026,2122808779,Soul Food,A
FAMOUS FISH MARKET,684,ST NICHOLAS AVENUE,10030,2124918323,Seafood,A
SOCIETE GENERALE CAFETERIA,245,PARK AVE,10167,2122787999,American,A
NEW WAVE CAFE & RESTAURANT,2210,BROADWAY,10024,2128737448,Armenian,A
REFRIED BEANS,591,FORT WASHINGTON AVENUE,10033,2125682299,Mexican,A
BEARD PAPA'S CREAM PUFFS,2167,BROADWAY,10024,2127993770,Bakery,A
AAHAR,10,MURRAY ST,10007,6466493374,Indian,A
MAMOUN FALAFEL,119,MACDOUGAL STREET,10012,2126748685,Middle Eastern,A
BRENDAN'S,42,WEST   35 STREET,10001,2125645405,American,A
ABECA SUSHI,121,E 27TH ST,10016,2122139888,Japanese,A
DUNKIN' DONUTS,90,BROAD ST,10004,2124227991,American,A
GREEN JUICE CAFE,4316,BROADWAY,10033,6469187730,"Juice, Smoothies, Fruit Salads",A
MILANO'S PIZZERIA,2255,2 AVENUE,10029,2129965141,Pizza,A
DEB'S CATERING,3,MADISON ST,10038,2129641300,American,A
DA NICO RESTAURANT,164,MULBERRY STREET,10013,2123431212,Italian,A
STARBUCKS,475,W 57TH ST,10019,2122475485,Caf̩/Coffee/Tea,A
SIMIT SARAYI,435,5TH AVE,10016,2126834100,Turkish,A
GENNARO RESTAURANT,665,AMSTERDAM AVENUE,10025,2126655348,Italian,A
SAY IT WITH CAKE,510,WEST  123 STREET,10027,2128649500,Bakery,A
RED MOON,132,W 45TH ST,10036,2123917006,Japanese,A
NEXT BAR & LOUNGE,43,MOTT STREET,10013,6464769135,Chinese,A
FIVE GUYS FAMOUS BURGERS AND FRIES,690,3RD AVE,10017,6467835060,Hamburgers,A
PIZZA PLUS,2253,3RD AVE,10035,2122892400,Pizza,A
THE STAND,239,3 AVENUE,10003,2126772600,American,A
MONIQUE'S LOUNGE 108,181,EAST  108 STREET,10029,6463260878,American,A
LUNA,121,W 29TH ST,10001,6468072167,Caf̩/Coffee/Tea,A
ZARO'S BREAD BASKET,89,EAST   42 STREET,10017,2122920163,Bakery,A
STAR ON 18TH DINER CAFE,128,10 AVENUE,10011,2123660994,American,A
WELCOME TO THE JOHNSON'S,123,RIVINGTON STREET,10002,2124209911,American,A
TALLGRASS BURGER,214,1 AVENUE,10009,2122532990,Hamburgers,A
ED'S LOBSTER BAR,222,LAFAYETTE STREET,10012,2123433236,Seafood,A
MULLIGAN'S PUB,267,MADISON AVENUE,10016,2122860207,Irish,A
TAIM,45,SPRING STREET,10012,2122190600,Mediterranean,A
EL CASTILLO DE JAGUA REST,113,RIVINGTON STREET,10002,2129826412,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",A
ESTELA,47,E HOUSTON STREET,10012,2122197693,American,A
SNAFU,127,EAST   47 STREET,10017,2123179100,American,A
LAKE COMO PIZZA,2549,AMSTERDAM AVENUE,10033,2127400110,Pizza,A
CAFE 11,11,BROADWAY,10004,2124252233,Jewish/Kosher,A
UPPER STORY BY CHARLIE PALMER,979,3RD AVE,10022,2126449394,American,A
POULETTE,790,9TH AVE,10019,2129569488,Chicken,A
CHLOE'S SOFT SERVE FRUIT CO.,25,EAST   17 STREET,10003,2126750550,"Ice Cream, Gelato, Yogurt, Ices",A
MEZZE BAR,691,9 AVENUE,10036,9176756266,Mediterranean,A
SUBWAY,36,WEST   46 STREET,10036,2122217565,Sandwiches/Salads/Mixed Buffet,A
WINGSTOP,63,W 125TH ST,10027,2129879464,Chicken,A
MOMOYA,427,AMSTERDAM AVE,10024,2125800007,Japanese,A
STARBUCKS,750,6 AVENUE,10010,6462307208,Caf̩/Coffee/Tea,A
WENDY'S,3939,BROADWAY,10032,9735976433,American,A
MOTHER BURGER,329,WEST   49 STREET,10019,2127578600,Hamburgers,A
THE HALAL GUYS,307,E 14TH ST,10003,2125337707,Mediterranean,A
MARRIOTT MARQUIS - Main Kitchen,1535,BROADWAY,10036,2123981900,American,A
JACK DEMSEY'S PUB,36,WEST   33 STREET,10001,2126299899,Irish,A
CONG LY RESTAURANT,124,HESTER ST,10002,2123431111,Vietnamese/Cambodian/Malaysia,A
GREEN NATURE COFFEE HOUSE,555,W 42 STREET,10036,6467073789,Caf̩/Coffee/Tea,A
STUDEBAKER CAFE,615,WEST  131 STREET,10027,2129261999,Delicatessen,A
LECHONERA LA ISLA,254,E 125TH ST,10035,2129961972,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",A
TEXAS ROTISSERIE & GRILL,2581,BROADWAY,10025,2126659800,Chicken,A
LA FONDA RESTAURANT AND TAPAS BAR,169,EAST  106 STREET,10029,2124107292,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",A
TINA'S RESTAURANT,940,3RD AVE,10022,7186371512,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",A
V-NAM CAFE,18-20,1 AVENUE,10009,2127806020,Vietnamese/Cambodian/Malaysia,A
THE INTERNATIONAL CULINARY INSTITUTE,462,BROADWAY,10013,2122198890,American,A
THE BROOK,111,EAST   54 STREET,10022,2127537020,American,A
DAVID'S BAGELS,273,1 AVENUE,10003,2127802308,American,A
BOCCA DI BACCO,635,NINTH AVENUE,10036,2122622525,Italian,A
BLIMPIE,69,NASSAU STREET,10038,2125285284,Sandwiches,A
THE SPOT KARAOKE LOUNGE,34,WEST   32 STREET,10001,2125646600,Korean,A
TAIWAN PORK CHOP HOUSE,3,DOYERS ST,10013,2127917007,Chinese,A
KAZZA WINE BAR,708,W 177TH ST,10033,6464767887,Tapas,A
STARBUCKS,685,3 AVENUE,10017,6468651250,Caf̩/Coffee/Tea,A
BOCCA BLISS,725,3RD AVE,10017,2128671881,American,A
